Tickers
AAPL
ABBV
AMZN
ASML
AVGO
AZN
BAC
BRK-A
BRK-B
COST
CVX
GOOG
GOOGL
HD
JNJ
JPM
KO
LLY
MA
MCD
META
MRK
MSFT
NVDA
NVO
NVS
ORCL
PEP
PFE
PG
TM
TMO
TSLA
TSM
UNH
V
WMT
XOM
